Name,Iata,Icao,Lat,Lon,Country,Alt,City
Mafia Airport,MFA,HTMA,-7.9175,39.668331,Tanzania,60,Mafia Island
Magadan Sokol Airport,GDX,UHMM,59.91098,150.720398,Russia,574,Magadan
Magas Airport,IGT,URMS,43.3223,45.0126,Russia,1165,Magas
Magnitogorsk International Airport,MQF,USCM,53.393131,58.755661,Russia,1431,Magnetiogorsk
Mahajanga Amborovy Airport,MJN,FMNM,-15.6671,46.351822,Madagascar,87,Mahajanga
Mahikeng Mmabatho Airport,MBD,FAMM,-25.798401,25.548,South Africa,4181,Mafeking
Mahon Menorca Airport,MAH,LEMH,39.862591,4.218647,Spain,298,Menorca
Mahshahr Airport,MRX,OIAM,30.55619,49.151871,Iran,8,Bandar Mahshahr
Maiduguri International Airport,MIU,DNMA,11.85534,13.08095,Nigeria,1099,Maiduguri
Mainz Finthen Airport,QEZ,EDFZ,49.967499,8.147222,Germany,760,Mainz
Maitland Airport,MTL,YMND,-32.7033,151.488007,Australia,85,Maitland
Majalengka Kertajati International Airport,KJT,WICA,-6.651352,108.157249,Indonesia,-1,
Majuro Marshall Islands International Airport,MAJ,PKMJ,7.06498,171.272003,Marshall Islands,6,Majuro
Makassar Sultan Hasanuddin International Airport,UPG,WAAA,-5.06163,119.554001,Indonesia,47,Ujung Pandang
Makemo Airport,MKP,NTGM,-16.5839,-143.658005,French Polynesia,3,Makemo
Makhachkala Uytash Airport,MCX,URML,42.816818,47.65229,Russia,12,Makhachkala
Makkovik Airport,YMN,CYFT,55.077221,-59.187778,Canada,231,Makkovik
Malabo International Airport,SSG,FGSL,3.755267,8.708717,Equatorial Guinea,76,Malabo
Malacca International Airport,MKZ,WMKM,2.263361,102.251503,Malaysia,35,Malacca
Malaga Costa Del Sol Airport,AGP,LEMG,36.6749,-4.4991,Spain,52,Malaga
Malang Abdul Rachman Saleh Airport,MLG,WARA,-7.92655,112.7145,Indonesia,1726,Malang
Malargue Airport,LGS,SAMM,-35.4935,-69.574203,Argentina,4683,Malargue
Malatya Erhac Airport,MLX,LTAT,38.435341,38.091,Turkey,2828,Malatya
Malden Regional Airport,MAW,KMAW,36.600601,-89.992203,United States,294,
Male Velana International Airport,MLE,VRMM,4.191833,73.529121,Maldives,6,Male
Malinau Kolonel RA Bessing Airport,LNU,WALM,3.576389,116.618332,Indonesia,22,
Malindi Airport,MYD,HKML,-3.2293,40.101662,Kenya,80,Malindi
Malmo Airport,MMX,ESMS,55.53019,13.37163,Sweden,236,Malmoe
Malolo Lailai Airport,PTF,NFFO,-17.777901,177.196701,Fiji,10,Malolo Lailai Island
Mambajao Camiguin Airport,CGM,RPMH,9.253611,124.706947,Philippines,32,Camiguin
Mamburao Airport,MBO,RPUM,13.20809,120.605301,Philippines,13,Mamburao
Mammoth Yosemite Airport,MMH,KMMH,37.631111,-118.851387,United States,7135,Mammoth Lakes
Mamuju Tampa Padang Airport,MJU,WAFJ,-2.586667,119.029167,Indonesia,7,
Mana Island Airport,MNF,NFMA,-17.6731,177.098007,Fiji,-1,Mana Island
Manado Sam Ratulangi International Airport,MDC,WAMM,1.549447,124.925797,Indonesia,264,Manado
Managua Augusto C. Sandino International Airport,MGA,MNMG,12.14149,-86.168098,Nicaragua,194,Managua
Manassas Regional Airport,MNZ,KHEF,38.721943,-77.518059,United States,179,Manassas
Manaus Eduardo Gomes International Airport,MAO,SBEG,-3.03861,-60.049702,Brazil,264,Manaus
Manchester Airport,MAN,EGCC,53.353741,-2.27495,United Kingdom,257,Manchester
Manchester Boston Regional Airport,MHT,KMHT,42.9328,-71.435699,United States,266,Manchester NH
Mandalay Chanmyathazi Airport,VBC,VYCZ,21.940538,96.089584,Myanmar (Burma),77,
Mandalay International Airport,MDL,VYMD,21.70215,95.977921,Myanmar (Burma),300,Mandalay
Mangalore International Airport,IXE,VOML,12.96126,74.89006,India,333,Mangalore
Mangshi Airport,LUM,ZPLX,24.405279,98.531898,China,2869,Luxi
Manhattan Regional Airport,MHK,KMHK,39.140968,-96.670799,United States,1066,Manhattan
Manihi Airport,XMH,NTGI,-14.4375,-146.070007,French Polynesia,14,Manihi
Maniitsoq Airport,JSU,BGMQ,65.41246,-52.9394,Greenland,91,Maniitsoq
Manila Municipal Airport,MXA,KMXA,35.894444,-90.154442,United States,242,
Manila Ninoy Aquino International Airport,MNL,RPLL,14.50864,121.019501,Philippines,75,Manila
Maningrida Airport,MNG,YMGD,-12.05492,134.232269,Australia,123,Maningrida
Manistee County Blacker Airport,MBL,KMBL,44.273888,-86.253334,United States,621,Manistee
Manitowoc County Airport,MTW,KMTW,44.129723,-87.68222,United States,651,
Manizales La Nubia Airport,MZL,SKMZ,5.029992,-75.465103,Colombia,6871,Manizales
Manjimup Airport,MJP,YMJM,-34.265301,116.139999,Australia,940,
Mankato Regional Airport,MKT,KMKT,44.22361,-93.918335,United States,1020,Mankato
Mannheim City Airport,MHG,EDFM,49.472698,8.514264,Germany,309,Mannheim
Manokotak Airport,KMO,PAMB,58.9902,-159.050003,United States,100,Manokotak
Manokwari Rendani Airport,MKW,WAUU,-0.89183,134.049103,Indonesia,23,
Mansfield Lahm Regional Airport,MFD,KMFD,40.82,-82.512779,United States,1297,Mansfield
Manta Eloy Alfaro International Airport,MEC,SEMT,-0.94607,-80.678802,Ecuador,48,Manta
Manteo Dare County Regional Airport,MEO,KMQI,35.919167,-75.695274,United States,14,Manteo
Manzanillo Playa de Oro International Airport,ZLO,MMZO,19.14477,-104.557999,Mexico,30,Manzanillo
Manzanillo Sierra Maestra Airport,MZO,MUMZ,20.28817,-77.089302,Cuba,112,Manzanillo
Manzhouli Xijiao Airport,NZH,ZBMZ,49.560001,117.32,China,-1,
Manzini King Mswati III International Airport,SHO,FDSK,-26.356667,31.716944,Eswatini,-1,
Manzini Matsapha Airport,MTS,FDMS,-26.528999,31.30751,Eswatini,2075,Manzini
Maputo International Airport,MPM,FQMA,-25.920799,32.572601,Mozambique,145,Maputo
Mar del Plata Astor Piazzolla International Airport,MDQ,SAZM,-37.934101,-57.573299,Argentina,71,Mar Del Plata
Mara Serena Airport,MRE,HKMS,-1.406111,35.008057,Kenya,5200,Masai Mara
Maraba Airport,MAB,SBMA,-5.36858,-49.138,Brazil,357,Maraba
Maracaibo La Chinita International Airport,MAR,SVMC,10.5582,-71.727798,Venezuela,235,Maracaibo
Maragheh Sahand Airport,ACP,OITM,37.348,46.127899,Iran,4396,Maragheh
Marana Pinal Airport,MZJ,KMZJ,32.510601,-111.328003,United States,1893,Marana
Marathon Florida Keys Airport,MTH,KMTH,24.726206,-81.050934,United States,4,Marathon
Marco Island Airport,MRK,KMKY,25.999664,-81.674171,United States,1,Marco Island Airport
Mardin Airport,MQM,LTCR,37.223331,40.63166,Turkey,1729,Mardin
Mare Airport,MEE,NWWR,-21.4816,168.037506,New Caledonia,141,Mare
Mareeba Airport,MRG,YMBA,-17.069201,145.419006,Australia,1560,
Marfa Municipal Airport,MRF,KMRF,30.371111,-104.017502,United States,4849,Marfa
Margaret River Airport,MQZ,YMGT,-33.930599,115.099998,Australia,374,
Margate Airport,MGH,FAMG,-30.857401,30.34301,South Africa,495,Margate
Maribor Airport,MBX,LJMB,46.479858,15.68613,Slovenia,876,Maribor
Mariehamn Airport,MHQ,EFMA,60.1222,19.898149,Finland,17,Mariehamn
Marilia Airport,MII,SBML,-22.197001,-49.93,Brazil,2122,Marília
Marina Municipal Airport,OAR,KOAR,36.6819,-121.762001,United States,137,Fort Ord
Maringa Regional Airport,MGF,SBMG,-23.476299,-52.016399,Brazil,1788,Maringa
Marion Municipal Airport,MZZ,KMZZ,40.489899,-85.679703,United States,859,
Marion Williamson County Regional Airport,MWA,KMWA,37.751945,-89.016388,United States,472,Marion
Maroantsetra Airport,WMN,FMNR,-15.4366,49.688332,Madagascar,13,Maroantsetra
Maroua Salak Airport,MVR,FKKL,10.45139,14.25736,Cameroon,1390,Maroua
Marquette Sawyer International Airport,MQT,KSAW,46.35363,-87.395302,United States,1221,Gwinn
Marrakesh Menara Airport,RAK,GMMX,31.60688,-8.0363,Morocco,1545,Marrakech
Marsa Alam International Airport,RMF,HEMA,25.55711,34.58371,Egypt,251,Marsa Alam
Marsa Matruh International Airport,MUH,HEMM,31.32535,27.22168,Egypt,94,Mersa-matruh
Marseille Provence Airport,MRS,LFML,43.436661,5.215,France,74,Marseille
Marsh Harbour Airport,MHH,MYAM,26.5114,-77.083397,Bahamas,6,Marsh Harbor
Marshall Don Hunter Sr. Airport,MLL,PADM,61.864185,-162.026169,United States,103,Marshall
Marshall Harrison County Airport,ASL,KASL,32.5205,-94.3078,United States,357,
Marshall Southwest Minnesota Regional Airport,MML,KMML,44.447224,-95.817497,United States,1180,
Martha's Vineyard Airport,MVY,KMVY,41.389336,-70.611816,United States,67,Vineyard Haven MA
Martinique Aime Cesaire International Airport,FDF,TFFF,14.59222,-60.9963,Martinique,16,Fort-de-france
Martinsburg Eastern WV Regional Airport,MRB,KMRB,39.401669,-77.985001,United States,557,Martinsburg
Marudi Airport,MUR,WBGM,4.1775,114.321899,Malaysia,103,Marudi
Mary International Airport,MYP,UTAM,37.6194,61.896702,Turkmenistan,728,Mary
Mary's Harbour Airport,YMH,CYMH,52.302799,-55.847198,Canada,38,Mary's Harbour
Maryborough Airport,MBH,YMYB,-25.5133,152.714996,Australia,38,Maryborough
Marysville Yuba County Airport,MYV,KMYV,39.098057,-121.569725,United States,62,Yuba City
Masbate Moises R. Espinosa Airport,MBT,RPVJ,12.369444,123.629166,Philippines,26,Masbate
Maseru Moshoeshoe I International Airport,MSU,FXMM,-29.4622,27.5525,Lesotho,5348,Maseru
Mashhad International Airport,MHD,OIMM,36.235191,59.640968,Iran,3263,Mashhad
Mason City Municipal Airport,MCW,KMCW,43.156944,-93.329445,United States,1213,Mason City
Massena International Airport,MSS,KMSS,44.935829,-74.845497,United States,222,Massena
Masset Airport,ZMT,CZMT,54.02,-132.119995,Canada,25,Masset
Masuda Hagi Iwami Airport,IWJ,RJOW,34.676388,131.790283,Japan,177,Iwami
Mataiva Airport,MVT,NTGV,-14.8694,-148.712997,French Polynesia,11,Mataiva
Matak Tarempa Airport,MWK,WIOM,3.34812,106.258003,Indonesia,10,Anambas Islands
Matamoros International Airport,MAM,MMMA,25.76989,-97.525299,Mexico,25,Matamoros
Mataveri International Airport,IPC,SCIP,-27.1647,-109.420998,Chile,227,Easter Island
Matei Taveuni Airport,TVU,NFNM,-16.6905,-179.876007,Fiji,2986,Matei
Matsu Beigan Airport,MFK,RCMT,26.223888,120.002502,Taiwan,41,Matsu Islands
Matsu Nangan Airport,LZN,RCFG,26.1597,119.958397,Taiwan,232,Matsu Islands
Matsumoto Airport,MMJ,RJAF,36.166752,137.922607,Japan,2182,Matsumoto
Matsuyama Airport,MYJ,RJOM,33.827221,132.699707,Japan,25,Matsuyama
Maturin International Airport,MUN,SVMT,9.749067,-63.1534,Venezuela,224,Maturin
Maumere Frans Seda Airport,MOF,WATC,-8.64064,122.236801,Indonesia,115,Maumere
Maun Airport,MUB,FBMN,-19.9725,23.43108,Botswana,3093,Maun
Maupiti Airport,MAU,NTTP,-16.4263,-152.242996,French Polynesia,15,Maupiti
Mawlamyine Airport,MNU,VYMM,16.4447,97.660698,Myanmar (Burma),52,Mawlamyine
Maxton Airport,MXE,KMEB,34.792423,-79.369392,United States,220,
Mayaguana Airport,MYG,MYMM,22.37952,-73.013496,Bahamas,11,Mayaguana
Mayaguez Eugenio María de Hostos,MAZ,TJMZ,18.25569,-67.148399,Puerto Rico,28,Mayaguez
Mazar-I-Sharif International Airport,MZR,OAMS,36.706909,67.209671,Afghanistan,1284,Mazar-i-sharif
Mazatlan International Airport,MZT,MMMZ,23.16135,-106.265999,Mexico,38,Mazatlan
Mbuji Mayi Airport,MJM,FZWA,-6.12123,23.569,Democratic Republic Of The Congo,2221,Mbuji-mayi
Mc Alester Regional,MLC,KMLC,34.882401,-95.783401,United States,770,Mcalester
McAllen Miller International Airport,MFE,KMFE,26.175831,-98.238602,United States,107,Mcallen
McArthur River Mine Airport,MCV,YMHU,-16.466667,136.095001,Australia,131,McArthur River Mine
McCall Municipal Airport,MYL,KMYL,44.89267,-116.103989,United States,5021,McCall
McCook Ben Nelson Regional Airport,MCK,KMCK,40.206268,-100.592003,United States,2582,McCook
McGrath Airport,MCG,PAMC,62.952751,-155.604996,United States,341,Mcgrath
McKinney National Airport,QQT,KTKI,33.178055,-96.590553,United States,585,DALLAS
McMinnville Municipal Airport,MMV,KMMV,45.194439,-123.135002,United States,163,Mackminnville
Meadow Lake Airport,YLJ,CYLJ,54.125271,-108.522003,Canada,1576,Meadow Lake
Medan Kuala Namu International Airport,KNO,WIMM,3.642222,98.878334,Indonesia,23,Medan
Medellin Enrique Olaya Herrera Airport,EOH,SKMD,6.219958,-75.5905,Colombia,4940,Medellin
Medellin Jose Maria Cordova International Airport,MDE,SKRG,6.164444,-75.422997,Colombia,7025,Rio Negro
Medford Rogue Valley International Airport,MFR,KMFR,42.374222,-122.873001,United States,1335,Medford
Medicine Hat Airport,YXH,CYXH,50.01889,-110.720001,Canada,2352,Medicine Hat
Medina Prince Mohammad bin Abdulaziz Airport,MED,OEMA,24.553419,39.705059,Saudi Arabia,2151,Madinah
Meekathara Airport,MKR,YMEK,-26.610001,118.540001,Australia,1713,Meekatharra
Mehamn Airport,MEH,ENMH,71.02916,27.826111,Norway,41,Mehamn
Meixian Airport,MXZ,ZGMX,24.268999,116.103996,China,305,Meixian
Mekele Alula Aba Nega Airport,MQX,HAMK,13.46736,39.533459,Ethiopia,7406,Makale
Mekoryuk Airport,MYU,PAMY,60.37278,-166.268051,United States,48,Mekoryuk
Melangguane Airport,MNA,WAMN,4.006944,126.672997,Indonesia,14,Melonguane
Melbourne Airport,MEL,YMML,-37.673302,144.843307,Australia,434,Melbourne
Melbourne Avalon Airport,AVV,YMAV,-38.039398,144.469406,Australia,35,Avalon
Melbourne International Airport,MLB,KMLB,28.102751,-80.645203,United States,33,Melbourne
Melbourne Moorabbin Airport,MBW,YMMB,-37.9758,145.102203,Australia,50,Melbourne
Melilla Airport,MLN,GEML,35.279812,-2.95625,Spain,156,Melilla
Memanbetsu Airport,MMB,RJCM,43.8806,144.164001,Japan,135,Memanbetsu
Memmingen Airport,FMM,EDJA,47.988609,10.239444,Germany,2077,Memmingen
Memphis International Airport,MEM,KMEM,35.042412,-89.976601,United States,341,Memphis
Mena Intermountain Municipal Airport,QQM,KMEZ,34.545277,-94.202782,United States,1080,
Mende Brenoux Airport,MEN,LFNB,44.504082,3.527633,France,3362,Mende
Mendoza International Airport,MDZ,SAME,-32.831699,-68.792801,Argentina,2310,Mendoza
Menominee Marinette Twin County Airport,MNM,KMNM,45.126652,-87.638397,United States,625,Macon
Menongue Airport,SPP,FNME,-14.6575,17.71983,Angola,4469,Menongue
Merauke Mopah International Airport,MKQ,WAKK,-8.52029,140.418396,Indonesia,10,Merauke
Merced Municipal Airport,MCE,KMCE,37.284721,-120.512779,United States,156,Merced
Merida Rejon Airport,MID,MMMD,20.936979,-89.6576,Mexico,38,Merida
Meridian Regional Airport,MEI,KMEI,32.337223,-88.749168,United States,297,Meridian
Merimbula Airport,MIM,YMER,-36.9086,149.901306,Australia,7,Merimbula
Merritt Island Airport,COI,KCOI,28.3416,-80.685501,United States,6,
Meru Mulika Lodge Airport,JJM,HKMK,0.165006,38.195026,Kenya,1972,Meru National Park
Merville Calonne Airport,HZB,LFQT,50.618401,2.64224,France,61,Merville
Merzifon Airport,MZH,LTAP,40.829369,35.521992,Turkey,1758,Merzifon
Mesa Falcon Field Airport,MSC,KFFZ,33.4608,-111.727997,United States,1394,Mesa
Metz-Nancy-Lorraine Airport,ETZ,LFJL,48.978329,6.246667,France,870,Metz
Mexicali International Airport,MXL,MMML,32.63063,-115.240997,Mexico,74,Mexicali
Mexico City International Airport,MEX,MMMX,19.4363,-99.071999,Mexico,7316,Mexico City
Mexico City Santa Lucia Airport,NLU,MMSM,19.755301,-99.016403,Mexico,7369,
Miami Executive Airport,TMB,KTMB,25.647881,-80.432701,United States,10,Kendall-tamiami
Miami International Airport,MIA,KMIA,25.793249,-80.290497,United States,8,Miami
Miami Municipal Airport,MIO,KMIO,36.883331,-94.900002,United States,808,
Miami Opa Locka Executive Airport,OPF,KOPF,25.907,-80.278297,United States,8,Miami
Mianyang Nanjiao Airport,MIG,ZUMY,31.43111,104.738052,China,4593,Mianyang
Middlemount Airport,MMM,YMMU,-22.8025,148.705002,Australia,547,
Middletown Regional Airport,MWO,KMWO,39.529251,-84.394165,United States,643,
Midland Airpark,MDD,KMDD,32.033176,-102.098862,United States,2797,
Midland International Airport,MAF,KMAF,31.94252,-102.200996,United States,2872,Midland
Mielec Airport,QEI,EPML,50.322224,21.462221,Poland,548,Mielec
Milan Bergamo Il Caravaggio International Airport,BGY,LIME,45.673882,9.704166,Italy,782,Bergamo
Milan Linate Airport,LIN,LIML,45.445099,9.276739,Italy,353,Milan
Milan Malpensa Airport,MXP,LIMC,45.6306,8.728111,Italy,767,Milano
Mildura Airport,MQL,YMIA,-34.229099,142.085495,Australia,167,Mildura
Miles Airport,WLE,YMLS,-26.809168,150.164993,Australia,996,
Miles City Municipal Airport,MLS,KMLS,46.430557,-105.880554,United States,2628,Miles City
Milikapiti Snake Bay Airport,SNB,YSNB,-11.4228,130.654007,Australia,173,
Milingimbi Airport,MGT,YMGB,-12.093703,134.893524,Australia,53,Milingimbi
Millington Regional Jetport,NQA,KNQA,35.356659,-89.870201,United States,319,Millington
Millville Executive Airport,MIV,KMIV,39.367802,-75.072197,United States,84,Millville
Milos Island National Airport,MLO,LGML,36.69611,24.477501,Greece,12,Milos
Milwaukee General Mitchell International Airport,MKE,KMKE,42.94722,-87.8965,United States,729,Milwaukee
Milwaukee Lawrence J. Timmerman Airport,MWC,KMWC,43.110638,-88.033295,United States,745,Milwaukee
Minatitlan Coatzacoalcos International Airport,MTT,MMMT,18.103411,-94.580597,Mexico,36,Minatitlan
Minden Tahoe Airport,MEV,KMEV,39.0,-119.75,United States,4717,
Mineral Point Iowa County Airport,QQJ,KMRJ,42.886944,-90.236664,United States,1170,
Mineral Wells Airport,MWL,KMWL,32.781601,-98.060097,United States,974,Mineral Wells
Mineralnye Vody Airport,MRV,URMM,44.225071,43.081879,Russia,1054,Mineralnye Vody
Minneapolis Anoka County Blaine Airport,QQA,KANE,45.145,-93.210281,United States,912,Anoka
Minneapolis Crystal Airport,MIC,KMIC,45.061943,-93.353889,United States,869,Crystal
Minneapolis Flying Cloud Airport,FCM,KFCM,44.827221,-93.457222,United States,906,Eden Prairie
Minneapolis Saint Paul International Airport,MSP,KMSP,44.88195,-93.221703,United States,841,Minneapolis
Minocqua Woodruff Lakeland Airport,ARV,KARV,45.924168,-89.732224,United States,1630,Minocqua - Woodruff
Minot International Airport,MOT,KMOT,48.257629,-101.278,United States,1716,Minot
Minsk International Airport,MSQ,UMMS,53.882462,28.030729,Belarus,670,Minsk 2
Miramichi Airport,YCH,CYCH,47.007771,-65.449097,Canada,108,Chatham
Miri Airport,MYY,WBGR,4.322014,113.986801,Malaysia,59,Miri
Mirny Airport,MJZ,UERR,62.534679,114.038902,Russia,1156,Mirnyj
Misawa Airport,MSJ,RJSM,40.70322,141.368301,Japan,119,Misawa
Misrata International Airport,MRA,HLMS,32.325558,15.059722,Libya,60,
Missoula International Airport,MSO,KMSO,46.916302,-114.089996,United States,3206,Missoula
Mitchell Municipal Airport,MHE,KMHE,43.775276,-98.038055,United States,1304,
Miyako Airport,MMY,ROMY,24.782829,125.295097,Japan,150,Miyako
Miyazaki Airport,KMI,RJFM,31.87722,131.448593,Japan,20,Miyazaki
Mo i Rana Airport,MQN,ENRA,66.363876,14.30138,Norway,229,
Moab Canyonlands Field,CNY,KCNY,38.759445,-109.746109,United States,4553,Moab
Moberly Airport,MBY,KMBY,39.46389,-92.426666,United States,867,
Mobile Downtown Airport,BFM,KBFM,30.62677,-88.068001,United States,26,Mobile
Mobile Regional Airport,MOB,KMOB,30.69141,-88.242798,United States,219,Mobile
Mobridge Municipal Airport,MBG,KMBG,45.544731,-100.406876,United States,1693,Mobridge
Modesto City County Airport,MOD,KMOD,37.625809,-120.954002,United States,99,Modesto
Moenjodaro Airport,MJD,OPMJ,27.33515,68.143051,Pakistan,154,Moenjodaro
Mogadishu Aden Adde International Airport,MGQ,HCMM,2.014444,45.304722,Somalia,29,Mogadishu
Mogilev Airport,MVQ,UMOO,53.954899,30.0951,Belarus,637,Mogilev
Mohe Gulian Airport,OHE,ZYMH,52.921131,122.420593,China,1800,Mohe County
Mojave Air and Space Port,MHV,KMHV,35.066666,-118.150002,United States,2791,Mojave
Molde Aro Airport,MOL,ENML,62.74472,7.2625,Norway,10,Molde
Moline Quad City International Airport,MLI,KMLI,41.453896,-90.506111,United States,590,Moline
Mombasa Moi International Airport,MBA,HKMO,-4.03483,39.59425,Kenya,200,Mombasa
Monastir Habib Bourguiba International Airport,MIR,DTMB,35.758049,10.75472,Tunisia,9,Monastir
Monbetsu Airport,MBE,RJEB,44.303909,143.404007,Japan,80,Monbetsu
Monclova International Airport,LOV,MMMV,26.95573,-101.470001,Mexico,1864,Monclova
Moncton International Airport,YQM,CYQM,46.112221,-64.678596,Canada,232,Moncton
Monkey Mia Shark Bay Airport,MJK,YSHK,-25.893333,113.576668,Australia,111,Shark Bay
Monroe Regional Airport,MLU,KMLU,32.51086,-92.037598,United States,79,Monroe
Monrovia Roberts International Airport,ROB,GLRB,6.233789,-10.3623,Liberia,31,Monrovia
Mont Tremblant International Airport,YTM,CYFJ,46.409168,-74.779999,Canada,825,Mont-Tremblant
Mont-Joli Airport,YYY,CYYY,48.608608,-68.208,Canada,172,Mont Joli
Montauk Airport,MTP,KMTP,41.074444,-71.923615,United States,20,Montauk
Monte Carlo Monaco Heliport,MCM,LNMC,43.725552,7.420278,Monaco,20,
Montego Bay Sangster International Airport,MBJ,MKJS,18.50371,-77.9133,Jamaica,4,Montego Bay
Monterey Regional Airport,MRY,KMRY,36.587002,-121.842003,United States,257,Monterey
Monteria Los Garzones Airport,MTR,SKMR,8.823678,-75.825897,Colombia,36,Monteria
Monterrey Del Norte International Airport,NTR,MMAN,25.86557,-100.237,Mexico,1476,Monterrey
Monterrey International Airport,MTY,MMMY,25.778481,-100.106003,Mexico,1278,Monterrey
Montes Claros Airport,MOC,SBMK,-16.7069,-43.818901,Brazil,2191,Montes Claros
Montevideo Carrasco International Airport,MVD,SUMU,-34.838402,-56.0308,Uruguay,105,Montevideo
Montevideo Chippewa County Airport,MVE,KMVE,44.950001,-95.716667,United States,1034,
Montgomery Orange County Airport,MGJ,KMGJ,41.516666,-74.26667,United States,365,Montgomery
Montgomery Regional Airport,MGM,KMGM,32.300629,-86.393898,United States,221,MONTGOMERY
Monticello Municipal Airport,MXO,KMXO,42.22028,-91.16333,United States,840,
Monticello Sullivan County International Airport,MSV,KMSV,41.701389,-74.794998,United States,1403,
Montpellier Mediterranee Airport,MPL,LFMT,43.583328,3.961389,France,17,Montpellier
Montreal Mirabel International Airport,YMX,CYMX,45.681938,-74.005203,Canada,270,Montreal
Montreal Pierre Elliott Trudeau Airport,YUL,CYUL,45.470551,-73.740799,Canada,118,Montreal
Montreal Saint-Hubert Airport,YHU,CYHU,45.517502,-73.416901,Canada,90,Montreal
Montrose Regional Airport,MTJ,KMTJ,38.509789,-107.893997,United States,5759,Montrose CO
Montserrat John A. Osborne Airport,MNI,TRPG,16.791109,-62.193001,Montserrat,551,Geralds
Monywa Airport,NYW,VYMY,22.22151,95.093979,Myanmar (Burma),263,Monywa
Moomba Airport,MOO,YOOM,-28.0994,140.197006,Australia,143,Moomba
Moorea Airport,MOZ,NTTM,-17.489901,-149.761002,French Polynesia,9,Moorea
Moosonee Airport,YMO,CYMO,51.291111,-80.607697,Canada,30,Moosonee
Mora Siljan Airport,MXX,ESKM,60.957901,14.51138,Sweden,634,Mora
Moranbah Airport,MOV,YMRB,-22.058332,148.078339,Australia,770,Moranbah
Moree Airport,MRZ,YMOR,-29.496346,149.850189,Australia,701,Moree
Morelia International Airport,MLM,MMMM,19.849939,-101.025002,Mexico,6033,Morelia
Morganton Foothills Regional Airport,MRN,KMRN,35.82,-81.610001,United States,1270,Morganton
Morgantown Municipal Airport,MGW,KMGW,39.642776,-79.915833,United States,1248,Morgantown
Morlaix Ploujean Airport,MXN,LFRU,48.600739,-3.81666,France,277,Morlaix
Mornington Island Airport,ONG,YMTI,-16.66,139.169998,Australia,33,Mornington Island
Moro Airport,MXH,AYMR,-6.36333,143.238007,Papua New Guinea,2740,Moro
Mörön Airport,MXV,ZMMN,49.6633,100.098999,Mongolia,4272,Muren
Morondava Airport,MOQ,FMMV,-20.2847,44.317612,Madagascar,30,Morondava
Moroni Prince Said Ibrahim International Airport,HAH,FMCH,-11.5336,43.271851,Comoros,93,Moroni
Morris Municipal Airport,MOX,KMOX,45.583332,-95.916664,United States,1130,
Morristown Municipal Airport,MMU,KMMU,40.799168,-74.415833,United States,187,Morristown
Morristown Regional Airport,MOR,KMOR,36.180321,-83.375557,United States,1313,
Morrisville Stowe State Airport,MVL,KMVL,44.537231,-72.614136,United States,732,Morrisville
Moruya Airport,MYA,YMRY,-35.897701,150.144394,Australia,14,Moruya
Morwell Latrobe Regional Airport,TGN,YLTV,-38.207199,146.470001,Australia,180,Morwell
Moscow Chkalovskiy Airport,CKL,UUMU,55.8783,38.061699,Russia,499,Shchyolkovo
Moscow Domodedovo International Airport,DME,UUDD,55.408779,37.906311,Russia,588,Moscow
Moscow Ostafyevo International Airport,OSF,UUMO,55.5075,37.502499,Russia,545,Moscow
Moscow Sheremetyevo International Airport,SVO,UUEE,55.972641,37.414581,Russia,622,Moscow
Moscow Vnukovo International Airport,VKO,UUWW,55.59153,37.261478,Russia,685,Moscow
Moscow Zhukovsky Airport,ZIA,UUBW,55.553333,38.151669,Russia,404,Ramenskoe
Moses Lake Grant County International Airport,MWH,KMWH,47.20858,-119.319,United States,1189,Grant County Airport
Mosjoen Airport,MJF,ENMS,65.783989,13.21491,Norway,237,Mosjoen
Mossoro Airport,MVF,SBMS,-5.20192,-37.3643,Brazil,76,Mocord
Mostar International Airport,OMO,LQMO,43.282902,17.845869,Bosnia And Herzegovina,156,Mostar
Moulins Montbeugny Airport,XMU,LFHY,46.534443,3.421667,France,915,Moulins
Moultrie Municipal Airport,MGR,KMGR,31.069445,-83.80278,United States,294,
Mount Gambier Airport,MGB,YMTG,-37.740002,140.779999,Australia,212,Mount Gambier
Mount Hagen Airport,HGU,AYMH,-5.82678,144.295807,Papua New Guinea,5388,Mount Hagen
Mount Holly South Jersey Regional Airport,LLY,KVAY,39.94278,-74.845833,United States,53,Mount Holly
Mount Isa Airport,ISA,YBMA,-20.663799,139.488602,Australia,1121,Mount Isa
Mount Keith Airport,WME,YMNE,-27.2864,120.555,Australia,1792,Mount Keith
Mount Magnet Airport,MMG,YMOG,-28.110001,117.839996,Australia,1354,Mount Magnet
Mount Pleasant Airport,MPN,EGYP,-51.822701,-58.447201,Falkland Islands (Malvinas),244,Mount Pleasant
Mount Pocono Municipal Airport,MPO,KMPO,41.133331,-75.366669,United States,1916,Mount Pocono
Mountain Home Ozark Regional Airport,WMH,KBPK,36.3689,-92.470497,United States,928,Mountain Home
Mountain View Moffett Federal Airfield,NUQ,KNUQ,37.416142,-122.049004,United States,37,Mountain View
Mountain Village Airport,MOU,PAMO,62.095402,-163.682007,United States,337,Mountain Village
Mpanda Airport,NPY,HTMP,-6.355285,31.084045,Tanzania,3562,Mpanda
Mthatha Airport,UTT,FAUT,-31.547899,28.67428,South Africa,2400,Umtata
