Name,Code,Code_ICAO,Country
Trigana Air,IL,TGN,Indonesia
Tropic Air,9N,TOS,Belize
Trujet,2T,TRJ,United Kingdom
Tsaradia,TZ,TDS,
TUI Airways,BY,TOM,United Kingdom
TUI fly,X3,TUI,Tunisia
TUI fly Netherlands,OR,TFL,Netherlands
TUI fly Nordic,6B,BLX,Sweden
TUIfly Belgium,TB,JAF,Belgium
TUM AeroCarga,,MCS,Greece
Tunisair,TU,TAR,Tunisia
Tunisair Express,UG,TUX,Kazakhstan
Turkish Airlines,TK,THY,Turkey
Turkmenistan Airlines,T5,TUA,Turkmenistan
Turkuaz Airlines,,TRK,Turkey
Turpial Airlines,T9,VTU,
Tus Airways,U8,CYF,Denmark
Twin Jet,T7,TJT,France
Tyrol Air Ambulance,,TYW,Austria
Tyrolean Jet Service,,TJS,Austria
UG Jet,,UGJ,
Uganda Airlines,UR,UGD,
Ukraine Air Alliance,,UKL,Ukraine
Ukraine International Airlines,PS,AUI,Ukraine
Ukrainian Mediterranean Airlines,UF,UKM,Ukraine
Ukrainian Wings,,UWJ,
ULS Airlines Cargo,GO,KZU,Turkey
Ultimate Air Shuttle,UE,UJC,
UNI Air,B7,UIA,Taiwan
Uni-Top Airlines,UW,UTP,
Union Aviation,,UAG,Ghana
Unique Air,,UQA,
United Airlines,UA,UAL,United States
United Nations,,UNO,
United Nigeria Airlines,U5,NUA,
United States - US Forest Service,,XCN,
Uniworld Air Cargo,U7,UCG,
UPS,5X,UPS,United States
UR Airlines,UD,UBD,Bangladesh
Ural Airlines,U6,SVR,Russia
Urumqi Airlines,UQ,CUH,
US-Bangla Airlines,BS,UBG,Bangladesh
USA Jet Airlines,,JUS,United States
USAC Airways 695,TD,BLK,Canada
UTair,UT,UTA,Russia
UVT Aero,RT,UVT,Indonesia
Uzbekistan Airways,HY,UZB,Uzbekistan
V Air,ZV,VAX,Taiwan
Valair,,VVV,
Valljet,,VLJ,
Van Air Europe,V9,VAA,Czechia
Vanilla Air,JW,VNL,
Varesh Airlines,,VRH,
Vasco,0V,VFC,Vietnam
Venezolana,,VNE,Venezuela
Veteran Airline,,VTF,
Veteran Airlines,,VPB,Ukraine
VI Airlink,,VIL,
ViaAir,VC,SRY,United States
Victory Air,,FTN,
Vieques Air Link,V4,VES,United States
VietJet Air,VJ,VJC,Vietnam
Vietnam Airlines,VN,HVN,Vietnam
Vietravel Airlines,VU,VAG,Kazakhstan
VIM Airlines,NN,MOV,Russia
Virgin America,VX,VRD,United States
Virgin Atlantic,VS,VIR,United Kingdom
Virgin Atlantic International,,VGI,
Virgin Australia,VA,VOZ,Australia
Virgin Australia Regional,,OZW,Australia
Vision Air International,,VIS,Pakistan
Vision Airlines,V2,RBY,United States
VistaJet,,VJT,Canada
Vistara,UK,VTI,India
Viva Air,VH,VVC,Colombia
Viva Air Peru,VV,VPE,
VivaAerobus,VB,VIV,Mexico
VoePass Linhas Aereas,2Z,PTB,Brazil
Volare Aviation,,VLZ,
Volaris,Y4,VOI,Mexico
Volaris Costa Rica,Q6,VOC,
Volaris El Salvador,N3,VOS,South Africa
Volato,,TMB,
Volga-Dnepr Airlines,VI,VDA,Russia
Volotea,V7,VOE,Spain
Voluxis,,VXS,
Voyage Air,VO,VRG,
Voyageur Airways,VC,VAL,Canada
Vueling,VY,VLG,Spain
VW Air Service,,BTX,
Wamos Air,EB,PLM,Spain
Warbelows Air Ventures,4W,WAV,United States
Wasaya Airways,,WSG,Canada
Wataniya Airways,,WAN,
West Air,PN,CHB,China
West Air,,WLX,Luxembourg
West Air,,PCM,United States
West Air Sweden,,SWN,Sweden
West Atlantic,,NPT,United Kingdom
West Coast Charters,,WCC,United States
Westair Aviation,WV,WAA,Namibia
Western Air,WU,WST,Bahamas
Western Air Express,,WAE,United States
Western Aircraft,ST,STT,United States
Western Global Airlines,KD,WGN,
WestJet,WS,WJA,Canada
WestJet Encore,WR,WEN,Canada
White,WI,WHT,Portugal
Wideroe,WF,WIF,Norway
Wiggins Airways,,WIG,United States
Wiking Helikopter Service,,WHS,Germany
Winair,WM,WIA,Netherlands
Windrose Air Jetcharter,,QGA,Germany
Windrose Airlines,7W,WRC,Ukraine
Wingo,P5,RPB,Colombia
Wings Air,IW,WON,Indonesia
Wings of Lebanon,W7,WLB,Lebanon
Wizz Air,W6,WZZ,Hungary
Wizz Air Abu Dhabi,5W,WAZ,
Wizz Air UK,W9,WUK,
World Atlantic Airlines,WL,WAL,United States
World Atlantic Airlines,WL,WAL,Canada
World Cargo Airlines,3G,WCM,
World2Fly,2W,WFL,
Worldwide Jet Charter,,WWI,United States
Wright Air Service,8V,WRF,United States
Xfly,EE,EST,Mexico
Xiamen Air,MF,CXA,China
Xo,,XOJ,United States
Yakutia Airlines,R3,SYL,Russia
Yamal Airlines,YC,LLM,Russia
YanAir,YE,ANR,
Yemenia,IY,IYE,Yemen
Yeti Airlines,YT,NYT,Nepal
YTO Cargo Airlines,YG,HYT,
Zagros Airlines,ZO,IZG,Iran
Zambia Airways,ZN,AZB,Kazakhstan
Zambian Airways,,MBN,Zambia
Zanair,,TAN,Tanzania
Zenflight,,XEN,
Zenith Aviation,,BZE,Brazil
Zetavia,ZK,ZAV,
Zimex Aviation,XM,IMX,Switzerland
Zimex Aviation Austria,,AZD,
ZIPAIR,ZG,TZP,
Zorex,,ORZ,Spain
